scene,total_frames,processed_frames,flow_mean_avg,flow_mean_std,flow_mean_max,flow_std_avg,flow_std_std,flow_std_max,flow_max_avg,flow_max_std,flow_max_max,flow_median_avg,flow_median_std,flow_median_max,flow_95th_avg,flow_95th_std,flow_95th_max,edge_density_avg,edge_density_std,texture_variance_avg,texture_variance_std,high_freq_energy_avg,high_freq_energy_std,contrast_avg,contrast_std,brightness_avg,brightness_std,color_entropy_avg,color_entropy_std,saturation_mean_avg,saturation_mean_std,saturation_std_avg,saturation_std_std,temporal_activity_avg,temporal_activity_std,temporal_variance_avg,temporal_variance_std
quarry-all,150,30,14.900515,2.2481601,20.646633,11.173735,1.6856282,12.923603,46.93444,7.8764825,58.33636,14.04694,3.1677923,23.067888,34.524628,5.357178,41.249348,0.12980005787037036,0.023403530693036412,204.1404724939437,84.91842550869721,0.8948742532742678,0.011647325885680857,42.51872027877918,1.3590499258216906,113.57634109760804,2.6808279184269983,4.685081,0.06357102,54.89015303497943,2.3580973139391808,37.73824189376096,2.047470579899288,24.70333516256918,1.9006709204420755,28.17203982556438,1.3826625876399976
quarry-rocksonly,150,30,14.794389,3.4752765,29.622688,9.48651,2.5220413,14.978514,83.86214,28.479242,145.71825,13.199993,3.8237262,31.593924,31.465658,5.9659915,52.654152,0.08755650398662553,0.043007520992977,102.48297705563526,69.41335115830432,0.8254699042084532,0.03411398593407971,51.07620916909151,6.604846301215035,130.33876697530863,12.317776447654447,3.84711,0.15509574,70.2419078414352,6.994770125452439,34.240153156989926,4.689358735252722,37.39882888995317,2.265633567522865,32.21200477468374,1.2049695113930463
resto-close,150,30,4.6756663,3.1155567,12.852408,8.671683,2.2741184,16.356867,129.47403,35.574303,216.28935,1.6264207,2.825264,9.235641,20.819443,7.300969,38.209835,0.010172887731481483,0.007617197395163343,24.962931181492937,9.346475957926751,0.7654449343883635,0.03294753113750393,48.352093692332325,2.0408999358259408,65.36669246720679,10.95677661974396,5.40519,0.12356971,83.5008990162037,15.374409992108642,47.435096519675085,4.525407455966445,26.58217680728501,6.622915950860114,35.843727314686085,5.09223557427175
resto-fwd,150,30,2.051236,0.7485759,3.6271398,5.5146213,1.6686774,8.651662,67.633446,24.94567,109.088165,0.022405136,0.018320281,0.05943731,14.553489,5.766386,26.60107,0.007371061599794239,0.0036645009727373124,21.34920754947825,11.953388667670716,0.8241833085319695,0.036316259201574254,23.279659961057778,1.789643911629125,30.941649032278804,1.1724268951767647,5.1192117,0.107646,60.1316277488426,3.825819340383816,35.630872533623695,4.399173821837413,10.076702785759897,4.106622736431145,20.65118860663927,5.248152022654881
resto-pan,150,30,4.0667133,1.3280879,8.517954,10.867248,2.8723943,19.047565,168.51007,68.337395,368.66644,0.058293007,0.07649691,0.32337576,23.156654,5.950203,35.660095,0.012739567258230451,0.0072889906349439095,33.99491453133043,18.252491719766667,0.7916510589948409,0.03298851310222801,33.45313942878677,1.9607670442210365,47.358134227109055,5.9980549901957545,5.662382,0.34851938,83.75287295846194,4.853320222663675,46.564016610347394,2.4471917059433004,21.114021807817153,4.682747027961013,28.92754182841952,3.9014088595439294
scifi,150,30,14.690339,5.738456,28.057474,23.095535,13.86314,64.42621,284.86334,124.63217,548.0789,7.9704857,3.191749,11.55821,45.5804,19.308817,97.01786,0.03423638438786008,0.003878284633410404,73.05538226238687,9.380399966878636,0.7896466093120773,0.015158612554176156,70.05602226515427,3.8957619870347,149.79857179140944,1.88737449880605,4.1720905,0.24968413,39.354213814943414,2.938207812316035,45.42023628146949,3.1374061489108636,40.796608214266705,10.876268372134243,51.624873121034476,7.758878958515626
subway-lookdown,150,30,8.810115,2.5607555,14.214738,12.320991,3.109477,18.601633,191.13103,84.266556,389.3799,5.133131,2.4191701,11.186904,28.463127,6.871651,41.663136,0.025440409593621396,0.00855734813940941,34.44987031849728,14.284049634072725,0.8200702203369897,0.018990310824885004,41.573695997819854,8.4142067048727,73.04408630722737,4.716718630156292,6.0133576,0.16575305,68.08627634709362,5.569384035761363,31.533877809795953,2.8644748612825848,22.19500196227118,6.243709270249689,27.042726031683234,5.413983835198805
subway-turn,150,30,10.8430605,2.0662103,14.803616,17.812208,5.303063,35.007107,275.97852,95.60284,518.2062,4.5778284,1.9469675,10.217888,38.06371,6.788225,48.697872,0.04464364711934155,0.008521818589100621,62.22604595959161,12.44306956646695,0.8184445330787213,0.018846475742952673,62.09435226059362,2.613915732115073,112.72514962705762,6.88442772030655,6.3480706,0.08265315,54.87222739840535,2.70106935996862,39.987811737379324,2.42930878203074,25.253405338707964,9.99594865370959,31.312546418583487,6.361910092367963
wildwest-bar,150,30,13.502432,4.8136535,23.422258,8.696007,3.2657604,13.358288,85.19607,36.536243,170.20752,11.936361,5.132335,25.97109,29.696016,10.649304,46.237045,0.08247434413580246,0.025211059655344835,232.44356982522876,81.64433986146454,0.8710475229978669,0.02072490727917719,50.32976485700203,2.4953115953566942,158.30044020061726,1.1407497837290401,3.3150718,0.15619428,104.33644802919238,2.5216184009693063,47.366274254885774,3.016547157151182,29.469425653203494,7.823050729365719,29.894584513743204,6.389642545174872
wildwest-barzoom,150,30,15.6010065,3.649901,22.260937,11.84908,2.9012268,16.292685,122.1161,46.16831,216.87184,13.495393,4.2006125,23.516693,37.03403,7.7975016,47.163063,0.0586375546553498,0.012618930338516058,192.99835773385198,40.91969374758544,0.8454682392247616,0.016092031893318582,56.87389582801117,1.7528001509294302,154.4399666441615,0.9871750009125851,3.3735626,0.04939576,114.50368888245885,1.0987732001354857,50.65250165131194,2.017911234536075,28.943413736563432,6.931956390308878,33.298106509613895,5.00042583095345
wildwest-behindcounter,150,30,12.013959,4.9682612,24.832727,9.555744,3.4548938,13.883537,116.56239,69.44805,381.3342,10.424333,5.9149747,28.365835,29.155312,10.414756,48.74206,0.05094384966563785,0.021949320382942873,135.22258789572646,68.42756181526633,0.8413302768007324,0.028433742724087815,38.721322779575566,3.2527601914554323,162.21531701710393,1.0626969011911065,3.500005,0.15420188,106.79338274819959,2.3181480733499886,41.30085501958945,2.1594402912126314,27.591835355470415,8.809987335955677,26.636825314289162,7.728483650455124
wildwest-store,150,30,14.140403,3.1633182,24.475374,10.36801,1.821342,14.254594,107.705086,32.95074,221.2578,12.787434,4.2295074,30.241962,32.224606,5.7926607,50.56566,0.06275768389917695,0.011871126407821217,180.88336520708117,38.12383895548664,0.8669627046619355,0.017530699336425804,41.559922911781314,1.8143843629461462,161.07037641460906,1.0095299388785546,4.112801,0.5961623,91.36624398791152,15.007152463763818,46.041904900183305,3.335528331620649,28.016238924808427,2.2119942047138266,28.615114965106926,1.4667821918025368
wildwest-town,150,30,11.147055,3.68031,14.536373,7.856595,2.6524332,10.038827,43.546402,14.029017,63.64918,11.569128,4.184233,15.9787,25.898113,8.556019,33.57504,0.0917379597479424,0.005572342871806701,254.71671128220382,39.18496589453501,0.880695886067898,0.008731084016397724,45.652559043570136,1.0471091087018751,162.84178911072533,0.27828386599442045,5.17945,0.037092384,69.21965199009773,1.4909013613467448,47.43276360639989,0.5473505203313515,16.57209206377714,3.148118978955205,23.231984335645226,3.159415357624554
