scene,param_group,param_value,cgvqm_score,mean_frame_error,max_frame_error,min_frame_error,std_frame_error,num_frames
abandoned-flipped,filter_size,0.9,93.26398468017578,6.736016130447387,25.777376174926758,2.395843029022217,3.282750034177742,150
abandoned-flipped,filter_size,0.95,93.16231536865234,6.8376848506927494,25.808006286621094,2.4025580883026123,3.294392914520242,150
abandoned-flipped,filter_size,1.0,93.27849578857422,6.721503391265869,25.724441528320312,2.3615102767944336,3.291425193180676,150
abandoned-flipped,hist_percent,1,93.24807739257812,6.751920690536499,25.92778968811035,2.381589651107788,3.3130268205041764,150
abandoned-flipped,hist_percent,10,93.25517272949219,6.744830393791199,25.79715347290039,2.382122278213501,3.2803262466904193,150
abandoned-flipped,hist_percent,100,93.26011657714844,6.7398806730906164,25.92081069946289,2.3911030292510986,3.3141270056017254,150
abandoned-flipped,hist_percent,125,93.88578033447266,6.114222976366679,22.195079803466797,2.168637752532959,2.910088544959968,150
abandoned-flipped,hist_percent,15,93.21195983886719,6.788038603464762,25.817310333251953,2.393148899078369,3.29153613950186,150
abandoned-flipped,hist_percent,150,94.4180679321289,5.581933523813883,20.311893463134766,2.01078462600708,2.6202037439211523,150
abandoned-flipped,hist_percent,200,94.64991760253906,5.3500822083155315,17.241573333740234,2.0286357402801514,2.332281423097246,150
abandoned-flipped,hist_percent,30,93.26438903808594,6.735614177385966,25.669984817504883,2.3737666606903076,3.274008263806654,150
abandoned-flipped,hist_percent,5,93.37942504882812,6.620573164621989,25.765350341796875,2.3485822677612305,3.286036083162657,150
abandoned-flipped,hist_percent,50,93.23035430908203,6.7696444606781006,25.76655387878418,2.378270149230957,3.291015752446762,150
abandoned-flipped,hist_percent,75,93.21159362792969,6.78840802192688,25.763582229614258,2.3856875896453857,3.2894366109614026,150
cubetest,alpha_weight,0.01,96.84618377685547,3.1538196055094403,5.664674758911133,0.9319325685501099,0.9826906440314768,150
cubetest,alpha_weight,0.02,96.8768310546875,3.123171721299489,5.436425685882568,1.0433120727539062,0.913350277729542,150
cubetest,alpha_weight,0.04,97.0284194946289,2.9715820256869,5.004539966583252,0.8774211406707764,0.9433199863176247,150
cubetest,alpha_weight,0.06,97.13475799560547,2.8652421657244362,4.749741554260254,1.0741126537322998,0.828390118872716,150
cubetest,alpha_weight,0.1,97.35216522216797,2.6478373169898988,4.786569595336914,0.778207540512085,0.8798521478485377,150
cubetest,alpha_weight,0.2,97.65497589111328,2.3450250124931333,4.520631313323975,0.8503310680389404,0.7656698673118968,150
cubetest,alpha_weight,0.5,97.78823852539062,2.211763859987259,4.821178913116455,0.6098823547363281,0.8525193359439355,150
cubetest,alpha_weight,0.6,97.38349914550781,2.6165007662773134,11.875826835632324,0.8379176259040833,1.5398270817767108,150
cubetest,alpha_weight,0.7,97.61181640625,2.3881844623883564,4.974203109741211,0.644085705280304,0.8551749733464614,150
cubetest,alpha_weight,0.8,97.47454833984375,2.52545272509257,4.825430393218994,1.0128788948059082,0.7499874032917345,150
cubetest,alpha_weight,0.9,97.31358337402344,2.6864205892880757,5.176990985870361,0.7203134298324585,0.8761399307960941,150
cubetest,alpha_weight,1.0,97.12841796875,2.8715844798088073,5.059085369110107,1.0723572969436646,0.8034272635845261,150
cubetest,num_samples,16,97.01783752441406,2.9821605881055198,5.079215049743652,0.8895387649536133,0.9583123212767932,150
cubetest,num_samples,32,97.02511596679688,2.974887852668762,4.9350361824035645,1.0676367282867432,0.8724016921276909,150
cubetest,num_samples,4,96.91128540039062,3.0887157380580903,4.969527244567871,0.9606099724769592,0.9665418202093896,150
cubetest,num_samples,64,97.0418701171875,2.9581267380714418,5.06143045425415,0.8068609237670898,0.968297616822967,150
cubetest,num_samples,8,96.99034118652344,3.0096618858973185,5.013519287109375,1.1763129234313965,0.8382612696959153,150
cubetest,filter_size,0.1,97.0238265991211,2.9761734493573506,5.012555122375488,1.0186556577682495,0.8782053061910507,150
cubetest,filter_size,0.25,97.0295639038086,2.9704370176792145,5.006292343139648,0.8737279772758484,0.9452592335768255,150
cubetest,filter_size,0.5,97.0286865234375,2.9713132683436076,5.013116359710693,1.002294659614563,0.8905975404887952,150
cubetest,filter_size,0.7,97.02796936035156,2.9720319787661236,5.007021903991699,0.8800734281539917,0.9430341004272588,150
cubetest,filter_size,0.9,97.02758026123047,2.972419879436493,5.013851165771484,0.966383695602417,0.8839840906196471,150
cubetest,filter_size,0.95,97.02777862548828,2.972221661408742,5.004794597625732,0.871611475944519,0.9442993375681953,150
cubetest,filter_size,1.0,97.03251647949219,2.9674796636899314,5.012665271759033,1.0142959356307983,0.8849341164444436,150
cubetest,hist_percent,1,97.04058837890625,2.9594135129451753,5.013258457183838,0.9031912088394165,0.9012234404960763,150
cubetest,hist_percent,10,97.033935546875,2.9660622497399647,5.012253284454346,0.9655299782752991,0.8947247791708097,150
cubetest,hist_percent,100,97.0281753540039,2.9718233597278596,5.0073065757751465,0.8713427186012268,0.944324307841479,150
cubetest,hist_percent,125,97.33355712890625,2.666444316307704,4.780473709106445,0.9344828724861145,0.8021959567292857,150
cubetest,hist_percent,15,97.0286636352539,2.971337117354075,5.005128383636475,0.8681719303131104,0.9447007550609111,150
cubetest,hist_percent,150,97.7117919921875,2.2882044410705564,4.677358150482178,0.6053550839424133,0.8540931621584984,150
cubetest,hist_percent,30,97.01978302001953,2.980214745203654,5.014080047607422,1.0382905006408691,0.8744992030772227,150
cubetest,hist_percent,5,97.02989959716797,2.970097770690918,5.006588459014893,0.8675340414047241,0.9452947496900336,150
cubetest,hist_percent,50,97.03025817871094,2.969738701979319,5.0058183670043945,0.8709865808486938,0.9458705324080526,150
cubetest,hist_percent,75,97.01493835449219,2.9850580310821533,5.0145649909973145,1.0746309757232666,0.8663259512678588,150
fantasticvillage-open,alpha_weight,0.01,67.96063232421875,32.03937026977539,35.493690490722656,20.397409439086914,2.6910420368670684,150
fantasticvillage-open,alpha_weight,0.02,68.22626495361328,31.773737258911133,35.348968505859375,20.309568405151367,2.6556082227465603,150
fantasticvillage-open,alpha_weight,0.04,68.49991607666016,31.500088857014973,34.9664421081543,20.26607322692871,2.598021760859238,150
fantasticvillage-open,alpha_weight,0.06,68.71660614013672,31.283393898010253,34.8592643737793,20.235918045043945,2.5456636389493283,150
fantasticvillage-open,alpha_weight,0.1,68.91820526123047,31.08179261525472,34.38685607910156,20.209352493286133,2.4935136263490096,150
fantasticvillage-open,alpha_weight,0.2,69.12762451171875,30.872378527323406,33.748287200927734,20.191322326660156,2.440016889128577,150
fantasticvillage-open,alpha_weight,0.5,69.0063705444336,30.993631858825683,34.05496597290039,20.282793045043945,2.4715643255313156,150
fantasticvillage-open,alpha_weight,0.6,68.87095642089844,31.129050661722818,34.20955276489258,20.33002281188965,2.4985935385019027,150
fantasticvillage-open,alpha_weight,0.7,68.67683410644531,31.323165181477865,34.51559829711914,20.380205154418945,2.5382981088355363,150
fantasticvillage-open,alpha_weight,0.8,68.42749786376953,31.57250213623047,34.97514724731445,20.43218421936035,2.5867572189711843,150
fantasticvillage-open,alpha_weight,0.9,68.12300109863281,31.87700517018636,35.3571891784668,20.49311065673828,2.652136362415746,150
fantasticvillage-open,alpha_weight,1.0,67.80863952636719,32.191362113952636,35.96050262451172,20.564167022705078,2.725795957572627,150
fantasticvillage-open,num_samples,16,68.46519470214844,31.534803860982258,35.34670639038086,20.255216598510742,2.6145230899547474,150
fantasticvillage-open,num_samples,32,68.56080627441406,31.43919366200765,34.701114654541016,20.244352340698242,2.5858219644656635,150
fantasticvillage-open,num_samples,4,68.1789779663086,31.82102149963379,35.497825622558594,20.3659610748291,2.664906363497458,150
fantasticvillage-open,num_samples,64,68.57073211669922,31.429269828796386,34.83613586425781,20.221893310546875,2.5872395851778722,150
fantasticvillage-open,num_samples,8,68.52685546875,31.473147557576496,35.08510971069336,20.267011642456055,2.5962493961891817,150
fantasticvillage-open,filter_size,0.1,68.51282501220703,31.48717379252116,35.028072357177734,20.257991790771484,2.6003532197215447,150
fantasticvillage-open,filter_size,0.25,68.51119995117188,31.48880064646403,35.12491226196289,20.257736206054688,2.600723212096129,150
fantasticvillage-open,filter_size,0.5,68.49386596679688,31.506133104960124,35.12709045410156,20.26150894165039,2.6009512043137515,150
fantasticvillage-open,filter_size,0.7,68.47689819335938,31.523104502360027,34.9869499206543,20.26535987854004,2.6057700663297148,150
fantasticvillage-open,filter_size,0.9,68.52685546875,31.47314835866292,34.99495315551758,20.266172409057617,2.5935283385940826,150
fantasticvillage-open,filter_size,0.95,68.5272216796875,31.472781562805174,35.02433776855469,20.265331268310547,2.593603312779698,150
fantasticvillage-open,filter_size,1.0,68.52479553222656,31.47520418802897,35.17866516113281,20.266801834106445,2.595688829958816,150
fantasticvillage-open,hist_percent,1,68.5158462524414,31.484152450561524,35.136173248291016,20.26341438293457,2.599177464231782,150
fantasticvillage-open,hist_percent,10,68.5239486694336,31.4760541788737,35.004276275634766,20.265897750854492,2.596689804201999,150
fantasticvillage-open,hist_percent,100,68.52133178710938,31.478669204711913,35.147823333740234,20.2653751373291,2.597126136847028,150
fantasticvillage-open,hist_percent,125,-46.2354736328125,146.2354812113444,208.43450927734375,95.14802551269531,14.530364010911653,150
fantasticvillage-open,hist_percent,15,68.52288818359375,31.47711181640625,35.15412902832031,20.266895294189453,2.595427675363157,150
fantasticvillage-open,hist_percent,150,-127.68901062011719,227.68903900146483,242.20233154296875,173.58212280273438,10.522697528489196,150
fantasticvillage-open,hist_percent,200,98.59888458251953,1.4011150191227595,2.5766665935516357,0.401519238948822,0.35695339104866575,150
fantasticvillage-open,hist_percent,30,68.49937438964844,31.50062858581543,35.06172180175781,20.264820098876953,2.601909701951528,150
fantasticvillage-open,hist_percent,5,68.48590087890625,31.51410400390625,35.02409744262695,20.26038360595703,2.602751125295992,150
fantasticvillage-open,hist_percent,50,68.52733612060547,31.472664006551106,35.175987243652344,20.258769989013672,2.595918665805812,150
fantasticvillage-open,hist_percent,75,68.5336685180664,31.46632952372233,35.02756881713867,20.25987434387207,2.5948399095888877,150
lightfoliage,alpha_weight,0.01,91.17930603027344,8.820692620277406,26.461883544921875,3.645040988922119,3.580444372855069,150
lightfoliage,alpha_weight,0.02,91.30757904052734,8.692419130007426,26.1207275390625,3.641815662384033,3.442607596634547,150
lightfoliage,alpha_weight,0.04,91.38033294677734,8.619665530522665,25.728784561157227,3.639296770095825,3.303525495462207,150
lightfoliage,alpha_weight,0.06,91.58311462402344,8.41688419342041,24.879446029663086,3.6342968940734863,3.0597397809218214,150
lightfoliage,alpha_weight,0.1,91.77194213867188,8.228054304122924,23.344280242919922,3.627986431121826,2.7208289786644326,150
lightfoliage,alpha_weight,0.2,92.27345275878906,7.726547150611878,19.858278274536133,3.609760046005249,2.044603976620214,150
