scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
resto-close,100,r.TemporalAACurrentFrameWeight,0.5,750,Profile(20260408_014247).csv,4.9085,5.5858,8.7888,0.4958,0.2458,1.1339,1.2185,1.454,0.0568,0.0032,4.9018,5.5743,9.083,0.5041,0.2541,4.2477,4.5102,6.5927,0.2676,0.0716,1.9609,2.2546,4.7563,0.2193,0.0481,2461.2486,2468.9062,2468.9062,127.3695,16222.9805,0.0709,0.0717,0.428,0.0292,0.0009
resto-close,100,r.TemporalAACurrentFrameWeight,0.6,750,Profile(20260408_014300).csv,4.9378,5.6407,8.6106,0.4986,0.2486,1.1801,1.4003,1.6408,0.0842,0.0071,4.931,5.6092,8.6189,0.5067,0.2568,4.2434,4.5265,6.5015,0.267,0.0713,2.1086,2.4714,4.8658,0.2655,0.0705,2451.0043,2472.9062,2472.9062,200.9761,40391.3744,0.0698,0.0715,0.4281,0.0223,0.0005
resto-close,100,r.TemporalAACurrentFrameWeight,0.7,750,Profile(20260408_014312).csv,4.9304,5.5733,8.5377,0.4789,0.2294,1.1764,1.3926,1.6942,0.0867,0.0075,4.924,5.5727,8.518,0.4862,0.2364,4.2516,4.5353,6.4386,0.2612,0.0682,2.0621,2.4016,4.6621,0.2367,0.056,2458.2637,2471.4062,2471.4062,155.9405,24317.4366,0.0716,0.0716,0.427,0.0343,0.0012
resto-close,100,r.TemporalAACurrentFrameWeight,0.8,750,Profile(20260408_014325).csv,4.9335,5.6603,8.7401,0.4825,0.2328,1.1789,1.3912,1.8489,0.0942,0.0089,4.9271,5.6385,8.7345,0.4847,0.2349,4.2383,4.524,6.6266,0.2639,0.0697,2.1176,2.5231,4.2882,0.2498,0.0624,2451.3089,2464.6562,2464.6562,179.6178,32262.5651,0.0723,0.0715,0.4382,0.0381,0.0015
resto-close,100,r.TemporalAACurrentFrameWeight,0.9,750,Profile(20260408_014338).csv,4.9305,5.6011,8.6646,0.5127,0.2628,1.2,1.4548,1.9133,0.1065,0.0113,4.924,5.5887,8.6649,0.5038,0.2539,4.2377,4.5297,6.6471,0.2669,0.0712,1.9473,2.2442,4.2739,0.2023,0.0409,2465.7142,2465.7812,2465.7812,0.0678,0.0046,0.0705,0.0715,0.427,0.029,0.0008
resto-close,100,r.TemporalAACurrentFrameWeight,1.0,750,Profile(20260408_014351).csv,4.9315,5.5689,8.8321,0.4848,0.235,1.1869,1.4145,1.7131,0.0903,0.0081,4.9249,5.5685,8.835,0.4938,0.2438,4.2566,4.5367,6.6363,0.2666,0.0711,2.0854,2.4553,4.3703,0.2442,0.0596,2442.4724,2469.1562,2469.1562,237.2508,56287.9322,0.07,0.0717,0.4493,0.0246,0.0006
resto-close,100,r.TemporalAASamples,4,750,Profile(20260408_014404).csv,4.9155,5.6149,8.7312,0.5028,0.2528,1.2126,1.4635,1.8471,0.1155,0.0133,4.9091,5.606,8.8103,0.5057,0.2557,4.2548,4.5428,6.5685,0.2646,0.07,1.9664,2.2972,4.3097,0.223,0.0497,2447.9088,2464.4062,2464.5312,200.6744,40270.2046,0.0696,0.0707,0.427,0.0226,0.0005
resto-close,100,r.TemporalAASamples,8,750,Profile(20260408_014417).csv,4.8894,5.5159,8.6332,0.4763,0.2269,1.2007,1.4625,1.8504,0.1217,0.0148,4.8822,5.5135,8.8731,0.479,0.2295,4.2459,4.524,6.7113,0.2663,0.0709,1.9533,2.2976,4.2838,0.2245,0.0504,2454.5279,2464.6562,2464.6562,155.6542,24228.2184,0.0734,0.0727,0.4465,0.0392,0.0015
resto-close,100,r.TemporalAASamples,16,750,Profile(20260408_014430).csv,4.9079,5.5582,8.2462,0.482,0.2323,1.2076,1.4478,1.8743,0.1154,0.0133,4.9014,5.5488,8.2435,0.4812,0.2315,4.2394,4.53,6.3556,0.2643,0.0698,1.9547,2.2737,3.7428,0.2238,0.0501,2461.2827,2464.6562,2464.6562,89.9934,8098.815,0.0712,0.0717,0.43,0.0319,0.001
resto-close,100,r.TemporalAASamples,32,750,Profile(20260408_014442).csv,4.9269,5.5737,8.3735,0.4806,0.231,1.2064,1.4729,1.825,0.116,0.0134,4.9201,5.5508,8.4852,0.4799,0.2303,4.2614,4.5357,6.4809,0.2665,0.071,2.0075,2.362,4.2349,0.2426,0.0589,2465.0927,2471.6562,2471.6562,90.22,8139.6551,0.0722,0.0718,0.4291,0.0344,0.0012
