scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.9,1350,Profile(20260402_231631).csv,3.4994,4.1288,6.0344,0.3776,0.1425,1.0963,1.3949,2.2421,0.1393,0.0194,3.4928,4.1076,6.0749,0.3766,0.1418,2.4608,2.7895,2.9199,0.1352,0.0183,1.9154,2.2548,2.8956,0.1846,0.0341,2755.6225,2759.4336,2767.8711,106.1941,11277.1931,0.0164,0.0174,0.4587,0.0185,0.0003
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,1.0,1350,Profile(20260402_231645).csv,3.5062,4.1638,6.3058,0.3932,0.1546,1.0953,1.4287,1.8658,0.1427,0.0204,3.4997,4.1466,6.3148,0.3907,0.1526,2.466,2.7984,3.0137,0.1409,0.0198,1.9238,2.2583,3.7422,0.1892,0.0358,2756.6792,2758.4336,2766.8711,75.1002,5640.0331,0.0168,0.0174,0.4598,0.0221,0.0005
abandoned-flipped,50,r.TemporalAASamples,4,1350,Profile(20260402_231700).csv,3.5108,4.1576,6.0379,0.382,0.1459,1.1028,1.4126,1.7372,0.1418,0.0201,3.5042,4.1515,5.9267,0.3793,0.1439,2.4734,2.7974,3.0033,0.1429,0.0204,1.919,2.2599,3.0191,0.1934,0.0374,2759.4529,2761.1836,2769.6211,75.1763,5651.478,0.0164,0.0266,0.4465,0.0123,0.0002
abandoned-flipped,50,r.TemporalAASamples,8,1350,Profile(20260402_231714).csv,3.5185,4.1595,5.9558,0.3877,0.1503,1.0957,1.4179,2.125,0.1519,0.0231,3.5121,4.1407,5.9894,0.3858,0.1489,2.4698,2.7972,2.9037,0.139,0.0193,1.9387,2.2772,2.7559,0.1877,0.0352,2757.6693,2759.4336,2767.8711,75.1278,5644.1856,0.0157,0.022,0.0368,0.0035,0.0
abandoned-flipped,50,r.TemporalAASamples,16,1350,Profile(20260402_231729).csv,3.5143,4.1937,6.2413,0.3995,0.1596,1.0882,1.4153,2.1586,0.1473,0.0217,3.5078,4.1884,6.2575,0.3946,0.1557,2.4652,2.7965,3.0947,0.1378,0.019,1.9273,2.2624,3.0732,0.1898,0.036,2754.4991,2758.3086,2766.7461,106.1518,11268.2012,0.0158,0.0184,0.0379,0.0034,0.0
abandoned-flipped,50,r.TemporalAASamples,32,1350,Profile(20260402_231744).csv,3.5114,4.1663,6.8627,0.384,0.1475,1.0477,1.2171,1.7594,0.0923,0.0085,3.505,4.1628,6.8417,0.3823,0.1462,2.4575,2.7889,2.9446,0.1372,0.0188,1.8726,2.1893,4.6682,0.188,0.0353,2758.5861,2760.4336,2768.8711,75.1526,5647.9131,0.0161,0.0174,0.4465,0.0182,0.0003
abandoned-flipped,50,r.TemporalAASamples,64,1350,Profile(20260402_231759).csv,3.5165,4.1747,5.2913,0.3847,0.148,1.0827,1.3981,2.7904,0.1498,0.0224,3.51,4.1743,5.3135,0.3813,0.1454,2.4681,2.7958,3.0073,0.1409,0.0199,1.9254,2.2858,2.8199,0.1915,0.0367,2751.4913,2759.4336,2767.8711,150.0594,22517.8133,0.0159,0.0247,0.3676,0.0103,0.0001
abandoned-flipped,50,r.TemporalAAFilterSize,0.1,1350,Profile(20260402_231814).csv,3.5099,4.122,5.8626,0.3696,0.1366,1.0487,1.2824,1.6438,0.1,0.01,3.5033,4.1275,5.73,0.3683,0.1356,2.4619,2.7916,2.954,0.1401,0.0196,1.9207,2.2959,2.6707,0.1985,0.0394,2754.2626,2760.0586,2768.4961,130.0404,16910.4996,0.0154,0.0174,0.3728,0.0102,0.0001
abandoned-flipped,50,r.TemporalAAFilterSize,0.25,1350,Profile(20260402_231829).csv,3.4998,4.1358,5.7407,0.3652,0.1334,1.0667,1.3413,2.0891,0.1167,0.0136,3.4937,4.1207,5.7588,0.363,0.1317,2.4646,2.7928,2.8857,0.137,0.0188,1.9187,2.2598,3.0306,0.191,0.0365,2746.3745,2758.3086,2766.7461,183.575,33699.7981,0.0158,0.0184,0.3697,0.014,0.0002
abandoned-flipped,50,r.TemporalAAFilterSize,0.5,1350,Profile(20260402_231843).csv,3.5106,4.1856,6.2904,0.3916,0.1534,1.0915,1.3967,2.3174,0.1433,0.0205,3.5042,4.172,6.297,0.3883,0.1508,2.4704,2.8067,3.0245,0.1391,0.0193,1.9185,2.2438,3.1897,0.1892,0.0358,2757.471,2759.1836,2767.6211,75.1224,5643.3712,0.0155,0.0246,0.039,0.0037,0.0
